2^Росгосстрах Банк^0,102564102564103^1^0^1^0
3^Россельхозбанк^1^0,785180572851806^1^0^0
329^Нижневолжский коммерческий банк^0^0,0062266500622665^0^0^1
330^НОВИКОМБАНК^0,0512820512820513^0,0037359900373599^0^0^1
331^ОКЕАН БАНК^0^0,0062266500622665^0^0^1
332^Промышленный сельскохозяйственный банк^0,0128205128205128^0,00560398505603985^0^0^1
333^Регионально-отраслевой Специализированный Автопромышленный банк^0^0,0062266500622665^0^0^1
334^Региональный коммерческий банк^0^0,0062266500622665^0^0^1
335^Русь^0^0,0062266500622665^0^0^1
336^ТАТАРСТАНСКИЙ АГРАРНО-ПРОМЫШЛЕННЫЙ БАНК^0,0128205128205128^0,00560398505603985^0^0^1
337^Трансстройбанк^0^0,0062266500622665^0^0^1
338^Га гаринский^0^0,00560398505603985^0^0^1
339^ИНТЕРПРОМБАНК^0^0,00560398505603985^0^0^1
340^Коммерческий банк развития^0,0128205128205128^0,0049813200498132^0^0^1
341^Международный Фондовый Банк^0^0,00560398505603985^0^0^1
342^РЕЗЕРВ^0,0128205128205128^0,0049813200498132^0^0^1
343^Российский акционерный коммерческий дорожный банк^0,0256410256410256^0,00435865504358655^0^0^1
344^Русский Финансовый Альянс^0^0,00560398505603985^0^0^1
345^ЭРГОБАНК^0^0,00560398505603985^0^0^1
346^Банк ЗЕНИТ Сочи^0^0,0049813200498132^0^0^1
347^Банк развития технологий и сбережений^0^0,0049813200498132^0^0^1
348^Банк энергетического машиностроения (ЭНЕРГОМАШБАНК)^0^0,00435865504358655^0^0^1
349^Владбизнесбанк^0^0,0049813200498132^0^0^1
350^Заречье^0,0128205128205128^0,00311332503113325^0^0^1
351^Кетовский коммерческий банк^0^0,0049813200498132^0^0^1
352^Континент Финанс^0,0128205128205128^0,00435865504358655^0^0^1
353^КУРГАН^0^0,0049813200498132^0^0^1
354^МОРСКОЙ АКЦИОНЕРНЫЙ БАНК^0,0512820512820513^0,00186799501867995^0^0^1
355^НАЛЬЧИК^0^0,0049813200498132^0^0^1
356^Объединенный Кредитный Банк^0,0256410256410256^0,0037359900373599^0^0^1
357^ПЕРЕСВЕТ^0,0128205128205128^0,00435865504358655^0^0^1
358^Промышленный энергетический банк^0,0128205128205128^0,00435865504358655^0^0^1
359^Профессиональный инвестиционный банк^0^0,0049813200498132^0^0^1
360^Санкт-Петербургский Индустриальный Акционерный Банк^0^0,0049813200498132^0^0^1
361^Сибирский банк реконструкции и развития^0^0,0049813200498132^0^0^1
362^Уссури^0^0,0049813200498132^0^0^1
363^Элита^0^0,0049813200498132^0^0^1
364^АСПЕКТ^0,0128205128205128^0,0037359900373599^0^0^1
365^БАЛАКОВО-БАНК^0^0,00435865504358655^0^0^1
366^Братский Акционерный Народный коммерческий Банк^0,0128205128205128^0,0037359900373599^0^0^1
367^БРИНКС^0,0384615384615385^0,0024906600249066^0^0^1
368^Евро-Азиатский Торгово-Промышленный Банк^0^0,00435865504358655^0^0^1
369^ЕВРОФИНАНС МОСНАРБАНК^0,0256410256410256^0,0012453300124533^0^0^1
370^ЗЕМЕЛЬНЫЙ КОММЕРЧЕСКИЙ БАНК^0^0,00435865504358655^0^0^1
371^К2 Банк^0,0128205128205128^0,00311332503113325^0^0^1
372^КОР^0^0,00435865504358655^0^0^1
373^КОШЕЛЕВ-БАНК^0^0,00435865504358655^0^0^1
374^МЕЖДУНАРОДНЫЙ ФИНАНСОВЫЙ КЛУБ^0,0384615384615385^0,00062266500622665^0^0^1
375^Мерседес-Бенц Банк Рус^0^0,00435865504358655^0^0^1
376^Московский Вексельный Банк^0,0128205128205128^0,0037359900373599^0^0^1
